('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Finnair', '2020-02-12T18:09', '2020-02-12T23:07', '298', '1464', '300', 'FA 667', 'E-190', '141', '14', '24'), 
('WOW Air', '2020-08-04T10:48', '2020-08-04T20:38', '590', '7636', '200', 'WA 1576', 'CRJ700', '250', '17', '24'), 
('Finnair', '2020-04-08T04:35', '2020-04-09T14:53', '2058', '5021', '300', 'FA 285', 'Millennium Falcon', '414', '25', '24'), 
('JetBlue Airways', '2020-01-19T20:51', '2020-01-20T10:28', '817', '605', '300', 'B6 665', 'E-195', '386', '8', '25'), 
('Delta Air Lines', '2020-03-18T05:34', '2020-03-19T23:29', '2515', '1103', '500', 'DL 1660', 'E-175', '206', '14', '7'), 
('Finnair', '2020-09-12T01:40', '2020-09-13T03:23', '1543', '4600', '1000', 'FA 1606', 'E-170', '567', '16', '27'), 
('JetBlue Airways', '2020-08-06T16:40', '2020-08-06T22:23', '343', '3102', '1000', 'B6 1589', 'E-195', '379', '4', '28'), 
('Alaska Airlines', '2020-02-01T00:05', '2020-02-02T11:51', '2146', '8795', '200', 'AS 178', 'A300', '135', '18', '5'), 
('Lufthansa', '2020-02-24T03:44', '2020-02-24T16:25', '761', '9425', '500', 'LH 1776', 'CRJ1000', '561', '17', '5'), 
('Finnair', '2020-05-22T09:11', '2020-05-22T12:36', '205', '5635', '300', 'FA 1896', 'A340', '509', '5', '9'), 
('SAS', '2020-05-14T02:10', '2020-05-15T09:22', '1872', '2985', '500', 'SA 312', 'A220', '384', '6', '10'), 
('JetBlue Airways', '2020-12-18T08:48', '2020-12-18T13:03', '255', '6294', '300', 'B6 563', 'CRJ700', '201', '22', '17'), 
('Alaska Airlines', '2020-02-22T19:01', '2020-02-22T22:31', '210', '9416', '500', 'AS 227', 'A380', '171', '29', '22'), 
('Finnair', '2020-10-18T22:20', '2020-10-18T23:21', '61', '8723', '300', 'FA 741', 'Boeing 767', '384', '10', '15'), 
('JetBlue Airways', '2020-07-29T05:40', '2020-07-30T22:01', '2421', '9991', '200', 'B6 750', 'A330', '565', '8', '2'), 
('Lufthansa', '2020-10-15T04:43', '2020-10-15T09:29', '286', '1259', '300', 'LH 1140', 'E-195', '56', '7', '9'), 
('SAS', '2020-05-08T12:31', '2020-05-08T21:47', '556', '5976', '1000', 'SA 1557', 'A220', '81', '4', '7'), 
('JetBlue Airways', '2020-05-05T06:01', '2020-05-06T13:09', '1868', '9798', '300', 'B6 444', 'CRJ900', '412', '25', '7'), 
('Delta Air Lines', '2020-11-19T23:17', '2020-11-20T11:44', '747', '8906', '300', 'DL 1700', 'A300', '66', '20', '28'), 
('British Airways', '2020-12-11T15:32', '2020-12-11T19:20', '228', '6276', '300', 'BA 1562', 'A220', '240', '27', '23'), 
('Alaska Airlines', '2020-05-07T17:18', '2020-05-08T20:52', '1654', '2715', '1000', 'AS 602', 'A340', '74', '13', '22'), 
('JetBlue Airways', '2020-08-09T09:49', '2020-08-09T22:46', '777', '8838', '1000', 'B6 1617', 'CRJ705', '319', '13', '0'), 
('WOW Air', '2020-04-03T21:55', '2020-04-03T23:18', '83', '4829', '500', 'WA 768', 'A340', '519', '12', '4'), 
('Air Canada', '2020-08-25T19:19', '2020-08-25T22:42', '203', '7299', '200', 'AC 1158', 'Boeing 787', '306', '12', '6'), 
('JetBlue Airways', '2020-02-25T07:20', '2020-02-26T06:41', '1401', '1527', '200', 'B6 152', 'A320', '57', '11', '6'), 
('Norwegian', '2020-09-02T05:44', '2020-09-03T05:30', '1426', '3953', '500', 'NW 1818', 'A300', '185', '10', '22'), 
('Frontier Airlines', '2020-09-01T14:46', '2020-09-02T14:18', '1412', '861', '500', 'F9 1660', 'A330', '581', '24', '7'), 
('WOW Air', '2020-05-19T17:33', '2020-05-19T22:27', '294', '2920', '200', 'WA 894', 'CRJ705', '451', '9', '22'), 
('British Airways', '2020-04-27T15:43', '2020-04-27T21:35', '352', '3095', '300', 'BA 1574', 'CRJ700', '363', '22', '5'), 
('Frontier Airlines', '2020-09-27T04:41', '2020-09-27T12:37', '476', '1942', '300', 'F9 1157', 'Boeing 777', '350', '4', '18'), 
('SAS', '2020-02-09T21:13', '2020-02-10T22:43', '1530', '8359', '200', 'SA 1969', 'A380', '277', '15', '19'), 
('Frontier Airlines', '2020-02-24T02:59', '2020-02-25T11:30', '1951', '2139', '300', 'F9 840', 'A321', '417', '15', '25'), 
('Norwegian', '2020-12-04T03:05', '2020-12-04T10:37', '452', '1814', '300', 'NW 1536', 'Boeing 767', '245', '8', '4'), 
('British Airways', '2020-07-14T13:08', '2020-07-15T03:26', '858', '7603', '300', 'BA 977', 'A380', '510', '11', '8'), 
('Air Canada', '2020-02-11T20:14', '2020-02-12T09:35', '801', '7117', '200', 'AC 1718', 'A321', '580', '24', '3'), 
('Frontier Airlines', '2020-03-14T15:35', '2020-03-15T15:35', '1440', '4265', '500', 'F9 1982', 'A380', '367', '14', '6'), 
('Lufthansa', '2020-08-09T22:04', '2020-08-10T21:52', '1428', '886', '300', 'LH 1867', 'A350', '316', '15', '19'), 
('Alaska Airlines', '2020-05-06T15:43', '2020-05-06T20:57', '314', '4618', '500', 'AS 1624', 'Boeing 787', '170', '13', '15'), 
('Frontier Airlines', '2020-04-28T10:35', '2020-04-28T23:37', '782', '6518', '500', 'F9 157', 'Boeing 737', '193', '1', '8'), 
('Finnair', '2020-10-12T05:39', '2020-10-13T05:17', '1418', '4161', '500', 'FA 920', 'E-195', '397', '25', '8'), 
('Frontier Airlines', '2020-11-16T22:57', '2020-11-16T24:36', '99', '7758', '300', 'F9 1851', 'Boeing 747', '261', '13', '21'), 
('Finnair', '2020-08-03T18:44', '2020-08-04T19:12', '1468', '680', '200', 'FA 1141', 'A340', '546', '12', '8'), 
('SAS', '2020-07-18T15:49', '2020-07-18T23:44', '475', '5581', '500', 'SA 1675', 'Boeing 787', '411', '3', '14'), 
('SAS', '2020-06-04T02:46', '2020-06-04T19:23', '997', '5096', '300', 'SA 987', 'CRJ900', '298', '9', '27'), 
('JetBlue Airways', '2020-11-19T11:52', '2020-11-20T09:25', '1293', '6132', '1000', 'B6 253', 'CRJ900', '337', '5', '12'), 
('British Airways', '2020-09-10T22:34', '2020-09-10T24:52', '138', '987', '200', 'BA 443', 'A350', '392', '23', '19'), 
('Norwegian', '2020-04-30T02:22', '2020-04-31T09:34', '1872', '5152', '200', 'NW 420', 'CRJ1000', '120', '0', '19'), 
('Norwegian', '2020-09-28T01:15', '2020-09-28T09:03', '468', '3934', '300', 'NW 1072', 'A321', '339', '15', '9'), 
('British Airways', '2020-08-28T02:29', '2020-08-29T01:57', '1408', '8476', '300', 'BA 959', 'SR-71 Blackbird', '275', '4', '22'), 
('Finnair', '2020-03-04T14:11', '2020-03-05T03:12', '781', '4758', '1000', 'FA 1498', 'CRJ705', '173', '21', '7'), 
('American Airlines', '2020-11-08T06:14', '2020-11-09T23:46', '2492', '5690', '500', 'AA 790', 'A318', '76', '24', '16'), 
('Alaska Airlines', '2020-11-30T04:22', '2020-11-30T12:13', '471', '9347', '200', 'AS 1147', 'E-170', '468', '1', '7'), 
('Frontier Airlines', '2020-11-05T18:34', '2020-11-05T22:42', '248', '4821', '200', 'F9 1274', 'A320', '93', '25', '26'), 
('Air Canada', '2020-01-17T21:37', '2020-01-17T23:51', '134', '6023', '300', 'AC 447', 'Boeing 787', '571', '26', '6'), 
('WOW Air', '2020-10-28T20:32', '2020-10-29T18:08', '1296', '2339', '500', 'WA 1886', 'CRJ900', '530', '28', '3'), 
('Norwegian', '2020-08-25T22:41', '2020-08-25T23:07', '26', '9086', '500', 'NW 1882', 'Boeing 767', '432', '13', '3'), 
('Norwegian', '2020-01-03T18:03', '2020-01-03T23:08', '305', '5079', '300', 'NW 1619', 'CRJ705', '56', '5', '19'), 
('Norwegian', '2020-07-19T21:38', '2020-07-20T03:28', '350', '1363', '200', 'NW 1014', 'A340', '65', '3', '27'), 
('British Airways', '2020-12-20T23:12', '2020-12-21T11:48', '756', '2545', '300', 'BA 101', 'A380', '573', '11', '18'), 
('Alaska Airlines', '2020-01-09T05:11', '2020-01-09T18:25', '794', '4773', '500', 'AS 1467', 'Boeing 747', '247', '6', '16'), 
('Delta Air Lines', '2020-09-08T01:34', '2020-09-09T10:31', '1977', '2256', '500', 'DL 476', 'Boeing 767', '572', '27', '13'), 
('Delta Air Lines', '2020-10-17T01:46', '2020-10-18T19:05', '2479', '8827', '200', 'DL 198', 'A220', '405', '22', '19'), 
('American Airlines', '2020-06-15T23:57', '2020-06-15T25:38', '101', '847', '300', 'AA 149', 'CRJ700', '100', '24', '22'), 
('JetBlue Airways', '2020-03-23T16:29', '2020-03-23T19:15', '166', '5404', '300', 'B6 913', 'A318', '133', '27', '23'), 
('Delta Air Lines', '2020-06-20T19:56', '2020-06-20T23:08', '192', '1743', '500', 'DL 799', 'CRJ700', '347', '28', '20'), 
('Air Canada', '2020-02-17T12:11', '2020-02-18T23:15', '2104', '5739', '300', 'AC 579', 'Boeing 737', '497', '28', '24'), 
('Alaska Airlines', '2020-03-06T09:12', '2020-03-06T18:28', '556', '2101', '500', 'AS 1539', 'Millennium Falcon', '461', '13', '24'), 
('SAS', '2020-08-09T19:04', '2020-08-09T21:45', '161', '7703', '300', 'SA 1152', 'Boeing 737', '62', '15', '18'), 
('WOW Air', '2020-04-03T18:14', '2020-04-04T14:21', '1207', '2860', '1000', 'WA 1279', 'E-170', '405', '11', '10'), 
('SAS', '2020-01-04T05:47', '2020-01-04T18:43', '776', '2352', '300', 'SA 1457', 'A321', '205', '2', '9'), 
('Finnair', '2020-05-29T03:53', '2020-05-29T06:46', '173', '7377', '1000', 'FA 892', 'A310', '574', '26', '16'), 
('Lufthansa', '2020-10-04T15:20', '2020-10-05T05:53', '873', '5753', '1000', 'LH 937', 'Boeing 787', '204', '9', '8'), 
('Alaska Airlines', '2020-04-12T20:57', '2020-04-12T23:11', '134', '688', '500', 'AS 1125', 'A310', '187', '28', '10'), 
('Alaska Airlines', '2020-03-17T22:56', '2020-03-17T23:15', '19', '802', '300', 'AS 1804', 'E-170', '212', '24', '14'), 
('SAS', '2020-08-06T13:17', '2020-08-07T23:15', '2038', '2432', '300', 'SA 1229', 'CRJ705', '112', '6', '21'), 
('Lufthansa', '2020-03-22T10:43', '2020-03-22T15:17', '274', '3052', '200', 'LH 280', 'A380', '208', '11', '21'), 
('British Airways', '2020-03-09T01:35', '2020-03-10T04:58', '1643', '9389', '1000', 'BA 795', 'CRJ900', '396', '12', '14'), 
('Alaska Airlines', '2020-09-14T19:36', '2020-09-14T21:15', '99', '7344', '500', 'AS 893', 'A340', '276', '15', '19'), 
('Alaska Airlines', '2020-03-24T18:17', '2020-03-25T05:50', '693', '9137', '300', 'AS 1560', 'Millennium Falcon', '593', '0', '16'), 
('Alaska Airlines', '2020-12-04T09:48', '2020-12-04T19:01', '553', '3370', '500', 'AS 1073', 'A380', '126', '2', '27'), 
('British Airways', '2020-10-18T04:31', '2020-10-19T01:57', '1286', '9068', '1000', 'BA 1662', 'E-195', '343', '26', '17'), 
('Frontier Airlines', '2020-10-18T03:57', '2020-10-18T19:11', '914', '3950', '200', 'F9 1356', 'E-175', '387', '24', '18'), 
('Finnair', '2020-09-13T11:46', '2020-09-13T16:56', '310', '8092', '300', 'FA 349', 'SR-71 Blackbird', '565', '6', '0'), 
('WOW Air', '2020-10-05T08:49', '2020-10-05T23:16', '867', '1936', '500', 'WA 1435', 'A318', '122', '26', '4'), 
('SAS', '2020-12-02T08:35', '2020-12-02T12:03', '208', '4105', '500', 'SA 731', 'Boeing 777', '286', '15', '25'), 
('SAS', '2020-11-19T13:56', '2020-11-20T21:13', '1877', '9948', '300', 'SA 307', 'Boeing 737', '277', '23', '0'), 
('British Airways', '2020-05-21T17:32', '2020-05-21T20:02', '150', '4685', '500', 'BA 1241', 'Boeing 777', '442', '22', '20'), 
('SAS', '2020-04-19T03:35', '2020-04-20T15:40', '2165', '4224', '1000', 'SA 1955', 'A300', '173', '18', '21'), 
('Frontier Airlines', '2020-05-10T22:40', '2020-05-11T18:56', '1216', '9028', '300', 'F9 950', 'E-195', '130', '25', '2'), 
('Lufthansa', '2020-01-13T09:49', '2020-01-13T20:36', '647', '818', '1000', 'LH 523', 'A320', '167', '26', '15'), 
('Finnair', '2020-12-10T17:41', '2020-12-10T20:37', '176', '8771', '500', 'FA 1276', 'CRJ900', '404', '2', '16'), 
('Alaska Airlines', '2020-02-04T08:25', '2020-02-04T18:32', '607', '2407', '500', 'AS 405', 'A318', '574', '21', '15'), 
('American Airlines', '2020-07-02T15:11', '2020-07-03T21:59', '1848', '1723', '500', 'AA 165', 'E-195', '394', '14', '11'), 
('SAS', '2020-05-28T10:20', '2020-05-28T21:55', '695', '8450', '300', 'SA 313', 'A320', '320', '9', '19'), 
('Delta Air Lines', '2020-07-29T13:51', '2020-07-29T19:00', '309', '1606', '500', 'DL 1412', 'Millennium Falcon', '128', '21', '2'), 
('Frontier Airlines', '2020-06-28T00:05', '2020-06-29T20:25', '2660', '7529', '300', 'F9 445', 'A380', '468', '16', '18'), 
('SAS', '2020-02-05T04:03', '2020-02-06T05:04', '1501', '6222', '500', 'SA 1604', 'A340', '298', '3', '21'), 
('Norwegian', '2020-03-08T02:01', '2020-03-09T16:23', '2302', '2928', '200', 'NW 402', 'A340', '474', '20', '12'), 
('British Airways', '2020-09-23T16:07', '2020-09-23T20:54', '287', '6035', '200', 'BA 997', 'Boeing 787', '593', '25', '21'), 
('British Airways', '2020-01-27T14:47', '2020-01-28T04:17', '810', '3642', '300', 'BA 1758', 'E-190', '155', '6', '29'), 
('Finnair', '2020-08-14T13:48', '2020-08-15T00:15', '627', '6420', '300', 'FA 550', 'Boeing 747', '221', '26', '15'), 
('SAS', '2020-02-21T06:56', '2020-02-22T18:08', '2112', '1632', '1000', 'SA 1161', 'A300', '64', '20', '27'), 
('JetBlue Airways', '2020-03-11T12:18', '2020-03-12T14:12', '1554', '5439', '200', 'B6 500', 'A319', '428', '12', '2'), 
('WOW Air', '2020-02-15T14:30', '2020-02-16T02:44', '734', '7023', '500', 'WA 758', 'Boeing 737', '371', '26', '29'), 
('Frontier Airlines', '2020-04-02T14:24', '2020-04-02T22:49', '505', '4255', '500', 'F9 469', 'Millennium Falcon', '213', '24', '3'), 
('American Airlines', '2020-07-25T06:04', '2020-07-26T15:07', '1983', '7143', '200', 'AA 1877', 'E-175', '403', '28', '18'), 
('Norwegian', '2020-06-30T04:33', '2020-06-30T08:46', '253', '4747', '500', 'NW 455', 'CRJ1000', '480', '9', '22'), 
('Frontier Airlines', '2020-11-09T19:32', '2020-11-10T16:17', '1245', '1986', '1000', 'F9 1257', 'SR-71 Blackbird', '366', '11', '15'), 
('Alaska Airlines', '2020-06-30T10:36', '2020-06-30T14:45', '249', '6027', '1000', 'AS 1044', 'CRJ900', '317', '7', '17'), 
('Alaska Airlines', '2020-04-11T03:45', '2020-04-11T14:30', '645', '6428', '1000', 'AS 516', 'A320', '576', '26', '2'), 
('American Airlines', '2020-04-10T07:31', '2020-04-11T06:47', '1396', '3018', '300', 'AA 613', 'Boeing 747', '564', '24', '8'), 
('JetBlue Airways', '2020-08-23T22:21', '2020-08-24T03:11', '290', '9627', '500', 'B6 1840', 'Boeing 737', '292', '16', '11'), 
('British Airways', '2020-07-02T04:44', '2020-07-03T23:45', '2581', '1166', '500', 'BA 718', 'A340', '418', '24', '18'), 
('Frontier Airlines', '2020-05-10T01:09', '2020-05-11T14:35', '2246', '1444', '300', 'F9 1505', 'Boeing 767', '220', '27', '3'), 
('Alaska Airlines', '2020-02-15T15:06', '2020-02-16T17:20', '1574', '4620', '1000', 'AS 109', 'E-170', '452', '4', '26'), 
('Air Canada', '2020-03-22T03:53', '2020-03-22T21:10', '1037', '7409', '300', 'AC 153', 'A380', '381', '24', '10'), 
('Finnair', '2020-03-21T20:31', '2020-03-21T22:04', '93', '8994', '500', 'FA 1117', 'A350', '344', '1', '2'), 
('Alaska Airlines', '2020-11-27T02:44', '2020-11-28T12:42', '2038', '8360', '200', 'AS 561', 'A321', '188', '13', '22'), 
('Finnair', '2020-05-21T04:50', '2020-05-21T17:25', '755', '1678', '300', 'FA 304', 'A321', '78', '9', '24'), 
('JetBlue Airways', '2020-12-14T04:23', '2020-12-15T07:12', '1609', '6604', '500', 'B6 1290', 'A220', '247', '17', '21'), 
('Frontier Airlines', '2020-09-06T09:22', '2020-09-06T19:31', '609', '3851', '500', 'F9 109', 'A220', '401', '24', '11'), 
('JetBlue Airways', '2020-02-04T10:56', '2020-02-04T13:35', '159', '554', '1000', 'B6 744', 'A380', '554', '5', '7'), 
('SAS', '2020-01-08T18:54', '2020-01-08T21:37', '163', '9775', '300', 'SA 1998', 'A350', '571', '9', '23'), 
('Frontier Airlines', '2020-04-02T00:40', '2020-04-03T16:15', '2375', '7668', '500', 'F9 1701', 'CRJ700', '67', '16', '21'), 
('SAS', '2020-07-15T18:02', '2020-07-15T20:33', '151', '9083', '500', 'SA 180', 'Boeing 777', '516', '2', '25'), 
('Air Canada', '2020-02-18T11:39', '2020-02-19T01:36', '837', '2900', '500', 'AC 680', 'E-195', '268', '27', '0'), 
('Frontier Airlines', '2020-09-09T23:13', '2020-09-09T23:57', '44', '6382', '300', 'F9 643', 'CRJ700', '316', '5', '4'), 
('Alaska Airlines', '2020-06-25T14:16', '2020-06-25T22:58', '522', '1597', '200', 'AS 1194', 'SR-71 Blackbird', '128', '19', '9'), 
('WOW Air', '2020-06-13T01:03', '2020-06-14T20:57', '2634', '7312', '1000', 'WA 1674', 'E-175', '595', '7', '21'), 
('Alaska Airlines', '2020-06-07T05:34', '2020-06-07T14:14', '520', '968', '500', 'AS 355', 'A340', '594', '17', '21'), 
('Norwegian', '2020-08-21T01:06', '2020-08-22T11:35', '2069', '7677', '300', 'NW 962', 'E-170', '533', '3', '8'), 
('WOW Air', '2020-04-11T12:01', '2020-04-11T15:43', '222', '3394', '500', 'WA 563', 'E-170', '440', '5', '9'), 
('Alaska Airlines', '2020-12-19T06:37', '2020-12-19T13:38', '421', '1845', '300', 'AS 1976', 'CRJ1000', '278', '23', '25'), 
('British Airways', '2020-11-09T02:37', '2020-11-09T09:53', '436', '6685', '500', 'BA 1765', 'Boeing 737', '352', '2', '7'), 
('British Airways', '2020-05-20T06:30', '2020-05-21T15:03', '1953', '1995', '300', 'BA 252', 'E-175', '573', '20', '25'), 
('Frontier Airlines', '2020-04-03T06:06', '2020-04-03T19:27', '801', '5914', '1000', 'F9 735', 'A330', '432', '6', '9'), 
('Air Canada', '2020-07-10T06:38', '2020-07-11T09:32', '1614', '6590', '500', 'AC 1546', 'CRJ705', '179', '5', '17'), 
('Alaska Airlines', '2020-10-04T21:43', '2020-10-04T23:03', '80', '8142', '500', 'AS 460', 'CRJ700', '514', '8', '20'), 
('Norwegian', '2020-10-29T04:27', '2020-10-30T22:27', '2520', '2428', '300', 'NW 515', 'Boeing 747', '287', '23', '14'), 
('WOW Air', '2020-07-01T06:11', '2020-07-01T12:46', '395', '2188', '300', 'WA 692', 'A300', '422', '4', '29'), 
('JetBlue Airways', '2020-02-03T03:51', '2020-02-04T04:31', '1480', '7727', '200', 'B6 1699', 'E-190', '320', '12', '17'), 
('Norwegian', '2020-11-28T21:57', '2020-11-29T21:37', '1420', '9849', '1000', 'NW 768', 'A330', '450', '27', '26'), 
('Delta Air Lines', '2020-06-08T04:23', '2020-06-09T17:13', '2210', '5032', '300', 'DL 428', 'A321', '559', '18', '10'), 
('Air Canada', '2020-01-27T02:52', '2020-01-27T12:44', '592', '3044', '1000', 'AC 308', 'A310', '378', '7', '18'), 
('Alaska Airlines', '2020-07-03T21:18', '2020-07-04T01:38', '260', '9784', '1000', 'AS 1683', 'A330', '576', '16', '8'), 
('Alaska Airlines', '2020-06-04T10:29', '2020-06-04T18:18', '469', '4434', '500', 'AS 394', 'A320', '464', '7', '22'), 
('Air Canada', '2020-02-01T22:17', '2020-02-01T23:11', '54', '8209', '300', 'AC 1561', 'A220', '414', '21', '24'), 
('British Airways', '2020-03-26T18:49', '2020-03-26T23:29', '280', '1528', '300', 'BA 588', 'E-195', '182', '19', '18'), 
('Finnair', '2020-04-06T10:09', '2020-04-06T23:50', '821', '9226', '1000', 'FA 953', 'Boeing 747', '304', '5', '18'), 
('JetBlue Airways', '2020-08-16T07:46', '2020-08-17T15:54', '1928', '6672', '300', 'B6 151', 'A319', '523', '5', '8'), 
('Norwegian', '2020-04-02T11:22', '2020-04-03T21:40', '2058', '2841', '300', 'NW 575', 'E-170', '61', '13', '9'), 
('Delta Air Lines', '2020-08-29T21:57', '2020-08-30T13:53', '956', '4617', '500', 'DL 640', 'A350', '560', '13', '5'), 
('Air Canada', '2020-05-23T15:38', '2020-05-24T09:16', '1058', '1854', '1000', 'AC 1339', 'Boeing 787', '242', '26', '28'), 
('Finnair', '2020-04-13T16:02', '2020-04-13T22:34', '392', '911', '1000', 'FA 708', 'Boeing 737', '296', '5', '28'), 
('American Airlines', '2020-05-12T19:42', '2020-05-12T21:34', '112', '3999', '500', 'AA 1609', 'A220', '498', '22', '25'), 
('Lufthansa', '2020-12-24T17:32', '2020-12-25T11:55', '1103', '8190', '1000', 'LH 390', 'A350', '246', '10', '1'), 
('Norwegian', '2020-06-14T05:45', '2020-06-14T18:23', '758', '6287', '500', 'NW 1312', 'A321', '539', '3', '11'), 
('Alaska Airlines', '2020-04-26T17:40', '2020-04-26T22:43', '303', '4132', '200', 'AS 1787', 'Boeing 747', '523', '2', '12'), 
('Alaska Airlines', '2020-10-02T06:49', '2020-10-02T19:21', '752', '1810', '200', 'AS 1447', 'Boeing 777', '181', '23', '7'), 
('SAS', '2020-09-02T19:50', '2020-09-02T23:19', '209', '5236', '500', 'SA 511', 'A300', '128', '9', '18'), 
('JetBlue Airways', '2020-02-13T20:24', '2020-02-13T23:22', '178', '664', '1000', 'B6 1678', 'E-190', '352', '26', '4'), 
('WOW Air', '2020-09-05T19:34', '2020-09-05T22:29', '175', '5624', '300', 'WA 427', 'CRJ900', '109', '3', '1'), 
('SAS', '2020-09-07T19:46', '2020-09-08T04:50', '544', '5119', '300', 'SA 1517', 'A321', '142', '7', '2'), 
('JetBlue Airways', '2020-10-12T10:20', '2020-10-13T14:31', '1691', '4187', '500', 'B6 1579', 'A319', '282', '29', '17'), 
('Delta Air Lines', '2020-11-19T19:25', '2020-11-20T11:40', '975', '1674', '300', 'DL 305', 'E-190', '131', '3', '14'), 
('JetBlue Airways', '2020-11-21T02:20', '2020-11-21T11:45', '565', '2639', '1000', 'B6 613', 'CRJ705', '261', '19', '18'), 
('Delta Air Lines', '2020-06-20T02:42', '2020-06-21T21:41', '2579', '4823', '1000', 'DL 1479', 'Boeing 787', '423', '11', '25'), 
('Alaska Airlines', '2020-02-17T18:42', '2020-02-18T11:43', '1021', '4368', '300', 'AS 1267', 'CRJ1000', '309', '17', '6'), 
('Delta Air Lines', '2020-12-20T07:22', '2020-12-20T09:24', '122', '9005', '500', 'DL 1036', 'A300', '596', '18', '24'), 
('Norwegian', '2020-02-16T03:21', '2020-02-17T01:20', '1319', '5176', '300', 'NW 1784', 'Boeing 767', '56', '16', '3'), 
('Delta Air Lines', '2020-07-21T05:24', '2020-07-22T05:25', '1441', '8802', '500', 'DL 950', 'Boeing 737', '179', '29', '6'), 
('Air Canada', '2020-12-22T06:57', '2020-12-22T22:52', '955', '6081', '200', 'AC 1604', 'A310', '392', '7', '29'), 
('Frontier Airlines', '2020-05-11T20:17', '2020-05-11T23:00', '163', '8001', '1000', 'F9 1831', 'E-170', '72', '26', '8'), 
('Delta Air Lines', '2020-06-21T04:08', '2020-06-21T08:02', '234', '7813', '500', 'DL 540', 'E-175', '234', '16', '27'), 
('American Airlines', '2020-12-05T22:18', '2020-12-05T23:40', '82', '6246', '500', 'AA 1724', 'Boeing 787', '568', '28', '15'), 
('Norwegian', '2020-04-28T00:19', '2020-04-28T23:08', '1369', '5805', '300', 'NW 689', 'A310', '455', '26', '8'), 
('JetBlue Airways', '2020-09-14T11:34', '2020-09-14T14:11', '157', '8681', '300', 'B6 486', 'A310', '82', '25', '18'), 
('Frontier Airlines', '2020-03-16T22:01', '2020-03-16T24:46', '165', '6506', '300', 'F9 1635', 'E-190', '199', '28', '16'), 
('WOW Air', '2020-04-23T14:14', '2020-04-23T17:14', '180', '1643', '1000', 'WA 652', 'CRJ900', '320', '1', '20'), 
('British Airways', '2020-10-08T01:43', '2020-10-08T16:28', '885', '2361', '300', 'BA 1997', 'A321', '471', '20', '14'), 
('JetBlue Airways', '2020-11-01T07:58', '2020-11-02T20:37', '2199', '6136', '300', 'B6 1498', 'Millennium Falcon', '379', '25', '27'), 
('Air Canada', '2020-10-04T02:50', '2020-10-04T17:59', '909', '2348', '500', 'AC 1304', 'A310', '555', '0', '13'), 
('Finnair', '2020-09-07T13:22', '2020-09-07T23:41', '619', '3238', '300', 'FA 1482', 'E-190', '300', '15', '5'), 
('Delta Air Lines', '2020-03-23T15:01', '2020-03-24T07:24', '983', '6031', '1000', 'DL 1559', 'Boeing 737', '247', '27', '7'), 
('British Airways', '2020-11-14T02:23', '2020-11-14T08:49', '386', '5069', '500', 'BA 1157', 'E-170', '516', '23', '25'), 
('Alaska Airlines', '2020-07-09T22:02', '2020-07-10T22:46', '1484', '7064', '200', 'AS 1707', 'A220', '436', '25', '24'), 
('British Airways', '2020-05-03T15:21', '2020-05-03T19:07', '226', '9967', '200', 'BA 275', 'SR-71 Blackbird', '487', '22', '17'), 
('Frontier Airlines', '2020-08-23T14:52', '2020-08-23T17:25', '153', '3984', '300', 'F9 1796', 'E-170', '500', '6', '22'), 
('American Airlines', '2020-09-07T13:35', '2020-09-08T06:22', '1007', '2881', '1000', 'AA 313', 'Boeing 777', '278', '19', '6'), 
('Air Canada', '2020-07-27T22:50', '2020-07-27T24:27', '97', '3338', '500', 'AC 1074', 'A318', '152', '15', '10'), 
('Frontier Airlines', '2020-08-28T20:03', '2020-08-29T05:09', '546', '7840', '200', 'F9 914', 'A380', '387', '27', '13'), 
('SAS', '2020-07-17T18:03', '2020-07-18T21:51', '1668', '8410', '500', 'SA 1958', 'Boeing 747', '482', '8', '23'), 
('Delta Air Lines', '2020-05-29T20:45', '2020-05-30T05:31', '526', '1188', '200', 'DL 787', 'CRJ700', '377', '8', '28'), 
('Alaska Airlines', '2020-07-18T15:22', '2020-07-18T18:31', '189', '2914', '300', 'AS 1168', 'Boeing 787', '243', '7', '17'), 
('SAS', '2020-07-05T11:30', '2020-07-05T21:52', '622', '9450', '300', 'SA 527', 'Boeing 767', '236', '13', '8'), 
('SAS', '2020-06-26T09:41', '2020-06-27T20:07', '2066', '1680', '300', 'SA 745', 'CRJ705', '374', '18', '11'), 
('WOW Air', '2020-07-17T14:50', '2020-07-18T10:58', '1208', '5172', '500', 'WA 680', 'A320', '207', '26', '14'), 
('Alaska Airlines', '2020-05-22T19:46', '2020-05-23T01:26', '340', '7677', '200', 'AS 1365', 'SR-71 Blackbird', '164', '25', '15'), 
('Lufthansa', '2020-02-06T23:52', '2020-02-07T04:12', '260', '1857', '500', 'LH 367', 'E-175', '208', '9', '5'), 
('Norwegian', '2020-02-24T03:46', '2020-02-24T15:28', '702', '4971', '1000', 'NW 151', 'A220', '72', '18', '13'), 
('Frontier Airlines', '2020-01-13T05:32', '2020-01-14T18:51', '2239', '1157', '300', 'F9 149', 'A220', '479', '24', '25'), 
('Delta Air Lines', '2020-10-20T16:34', '2020-10-20T19:14', '160', '4880', '300', 'DL 1854', 'E-195', '82', '8', '3'), 
