('British Airways', '2019-02-24T16:17', '2019-02-25T17:20', '1503', '4184', '200', 'BA 1425', 'E-170', '477', '14', '15'), 
('Air Canada', '2018-01-17T17:27', '2018-01-17T20:14', '167', '3589', '1000', 'AC 861', 'Boeing 777', '432', '23', '17'), 
('Lufthansa', '2018-01-20T20:21', '2018-01-21T21:36', '1515', '4050', '500', 'LH 1808', 'A330', '107', '25', '2'), 
('JetBlue Airways', '2019-04-30T06:06', '2019-04-31T15:17', '1991', '4202', '300', 'B6 580', 'A319', '526', '14', '9'), 
('Alaska Airlines', '2018-07-19T21:23', '2018-07-19T23:53', '150', '4112', '500', 'AS 378', 'A340', '351', '4', '0'), 
('SAS', '2018-12-12T03:56', '2018-12-13T01:10', '1274', '1729', '200', 'SA 1335', 'A300', '334', '16', '10'), 
('Finnair', '2018-01-07T02:02', '2018-01-08T20:59', '2577', '6205', '500', 'FA 134', 'CRJ700', '115', '3', '25'), 
('Delta Air Lines', '2019-06-16T05:05', '2019-06-16T14:38', '573', '2707', '200', 'DL 311', 'A380', '68', '0', '7'), 
('Alaska Airlines', '2018-03-18T12:05', '2018-03-18T20:21', '496', '2246', '200', 'AS 767', 'A340', '233', '29', '25'), 
('Lufthansa', '2018-11-10T23:28', '2018-11-10T24:05', '37', '6240', '200', 'LH 1679', 'E-175', '139', '4', '5'), 
('WOW Air', '2018-05-23T20:49', '2018-05-24T12:35', '946', '7839', '500', 'WA 1120', 'A321', '117', '4', '26'), 
('SAS', '2018-09-15T04:56', '2018-09-15T21:19', '983', '5378', '200', 'SA 1184', 'A330', '282', '3', '20'), 
('Finnair', '2019-09-13T02:27', '2019-09-13T22:53', '1226', '2573', '1000', 'FA 1157', 'Boeing 747', '367', '19', '29'), 
('Norwegian', '2018-05-30T17:11', '2018-05-31T01:56', '525', '1382', '500', 'NW 958', 'SR-71 Blackbird', '188', '17', '10'), 
('Delta Air Lines', '2019-08-09T00:20', '2019-08-09T18:15', '1075', '1290', '300', 'DL 1038', 'E-170', '409', '28', '20'), 
('Lufthansa', '2019-08-01T09:31', '2019-08-01T22:09', '758', '5644', '200', 'LH 1154', 'CRJ1000', '569', '6', '11'), 
('Finnair', '2019-09-16T08:15', '2019-09-16T11:40', '205', '1251', '500', 'FA 330', 'Boeing 777', '227', '22', '5'), 
('Delta Air Lines', '2018-02-13T22:51', '2018-02-13T24:04', '73', '2996', '200', 'DL 391', 'E-195', '363', '22', '4'), 
('Alaska Airlines', '2019-09-16T04:26', '2019-09-16T21:25', '1019', '9289', '1000', 'AS 810', 'A320', '121', '24', '13'), 
('SAS', '2018-11-22T05:29', '2018-11-23T10:00', '1711', '3031', '500', 'SA 1333', 'E-175', '196', '12', '23'), 
('Alaska Airlines', '2019-09-05T20:50', '2019-09-06T15:40', '1130', '2953', '300', 'AS 1232', 'A320', '417', '27', '26'), 
('Alaska Airlines', '2018-10-28T03:31', '2018-10-28T16:48', '797', '1446', '300', 'AS 1279', 'Boeing 767', '414', '16', '15'), 
('Norwegian', '2018-05-22T07:41', '2018-05-23T16:48', '1987', '4278', '300', 'NW 1650', 'Millennium Falcon', '140', '5', '4'), 
('Delta Air Lines', '2018-07-21T14:47', '2018-07-21T22:24', '457', '1725', '200', 'DL 135', 'A310', '425', '26', '20'), 
('Frontier Airlines', '2019-03-15T13:31', '2019-03-16T22:13', '1962', '1330', '300', 'F9 1527', 'A350', '556', '16', '25'), 
('Delta Air Lines', '2018-05-10T01:30', '2018-05-11T20:08', '2558', '5069', '300', 'DL 1759', 'A320', '459', '9', '22'), 
('Air Canada', '2018-05-02T06:36', '2018-05-02T14:34', '478', '9551', '300', 'AC 957', 'A380', '438', '5', '26'), 
('SAS', '2019-07-08T15:31', '2019-07-08T20:56', '325', '9890', '500', 'SA 352', 'A300', '232', '22', '28'), 
('Delta Air Lines', '2018-01-20T16:05', '2018-01-20T18:02', '117', '2327', '300', 'DL 870', 'A321', '169', '6', '25'), 
('Frontier Airlines', '2019-02-01T15:09', '2019-02-01T21:40', '391', '1762', '300', 'F9 1056', 'Boeing 787', '572', '5', '16'), 
('JetBlue Airways', '2018-04-25T00:26', '2018-04-25T19:34', '1148', '7304', '300', 'B6 1067', 'E-170', '213', '25', '4'), 
('British Airways', '2019-04-26T06:12', '2019-04-26T21:11', '899', '9737', '200', 'BA 678', 'SR-71 Blackbird', '581', '5', '14'), 
('Lufthansa', '2018-02-03T00:32', '2018-02-04T05:23', '1731', '8643', '300', 'LH 704', 'Boeing 787', '459', '5', '21'), 
('Frontier Airlines', '2019-02-02T18:03', '2019-02-03T17:33', '1410', '7266', '200', 'F9 774', 'A321', '227', '25', '9'), 
('British Airways', '2019-08-20T09:55', '2019-08-21T00:59', '904', '2088', '300', 'BA 1884', 'Boeing 777', '529', '23', '20'), 
('SAS', '2018-04-07T19:54', '2018-04-08T06:39', '645', '5333', '200', 'SA 639', 'Boeing 747', '427', '12', '10'), 
('Alaska Airlines', '2019-12-25T16:51', '2019-12-25T19:51', '180', '2835', '1000', 'AS 1290', 'A300', '199', '9', '26'), 
('Delta Air Lines', '2018-04-10T07:04', '2018-04-10T15:05', '481', '8982', '1000', 'DL 1662', 'A340', '72', '7', '17'), 
('Delta Air Lines', '2018-10-07T04:57', '2018-10-07T21:47', '1010', '9633', '500', 'DL 581', 'CRJ700', '533', '14', '20'), 
('Lufthansa', '2018-07-27T01:02', '2018-07-28T23:46', '2804', '8533', '500', 'LH 716', 'E-175', '195', '12', '28'), 
('Alaska Airlines', '2019-05-26T22:45', '2019-05-26T23:59', '74', '7768', '300', 'AS 1241', 'CRJ900', '355', '13', '3'), 
('Norwegian', '2018-05-29T10:26', '2018-05-30T21:04', '2078', '4133', '300', 'NW 888', 'A350', '509', '3', '11'), 
('Air Canada', '2019-10-16T13:31', '2019-10-16T19:31', '360', '8047', '1000', 'AC 1994', 'Boeing 787', '250', '6', '10'), 
('Norwegian', '2019-03-23T08:44', '2019-03-23T12:27', '223', '1068', '300', 'NW 943', 'A310', '459', '15', '4'), 
('Air Canada', '2018-07-21T10:22', '2018-07-22T09:24', '1382', '8298', '500', 'AC 586', 'Boeing 767', '229', '19', '12'), 
('SAS', '2018-07-24T15:09', '2018-07-24T20:31', '322', '9564', '1000', 'SA 963', 'A340', '259', '2', '6'), 
('Air Canada', '2019-11-02T09:38', '2019-11-02T18:20', '522', '5852', '500', 'AC 1911', 'CRJ700', '339', '16', '13'), 
('SAS', '2018-05-29T07:25', '2018-05-30T17:05', '2020', '1907', '300', 'SA 257', 'A300', '279', '13', '17'), 
('WOW Air', '2018-04-16T09:18', '2018-04-17T22:28', '2230', '752', '500', 'WA 1088', 'Millennium Falcon', '156', '25', '21'), 
('Air Canada', '2019-06-24T11:13', '2019-06-24T14:15', '182', '7231', '200', 'AC 423', 'CRJ700', '337', '19', '22'), 
('Finnair', '2019-06-23T01:42', '2019-06-24T04:10', '1588', '9025', '1000', 'FA 1757', 'A300', '103', '17', '8'), 
('Lufthansa', '2019-11-11T06:13', '2019-11-12T18:43', '2190', '7427', '300', 'LH 1625', 'E-195', '429', '7', '23'), 
('Lufthansa', '2019-08-08T15:40', '2019-08-08T22:14', '394', '5240', '500', 'LH 1615', 'E-175', '246', '17', '12'), 
('SAS', '2019-10-07T21:08', '2019-10-08T02:30', '322', '3750', '200', 'SA 1319', 'A300', '277', '2', '23'), 
('Norwegian', '2019-04-07T20:22', '2019-04-07T23:59', '217', '1417', '500', 'NW 923', 'E-175', '225', '29', '23'), 
('Frontier Airlines', '2019-09-17T14:23', '2019-09-18T17:17', '1614', '8078', '500', 'F9 826', 'Boeing 767', '266', '13', '0'), 
('Alaska Airlines', '2018-01-02T15:52', '2018-01-03T18:43', '1611', '9760', '500', 'AS 1809', 'CRJ900', '312', '28', '1'), 
('Air Canada', '2018-11-26T20:27', '2018-11-26T22:06', '99', '5369', '1000', 'AC 383', 'CRJ705', '258', '15', '23'), 
('Frontier Airlines', '2019-02-07T23:47', '2019-02-08T18:22', '1115', '3602', '1000', 'F9 276', 'A350', '290', '12', '16'), 
('Lufthansa', '2018-03-10T16:23', '2018-03-11T15:53', '1410', '6869', '300', 'LH 342', 'A318', '573', '10', '4'), 
('Finnair', '2019-07-12T17:40', '2019-07-12T19:23', '103', '5993', '300', 'FA 1799', 'A340', '443', '17', '4'), 
('Lufthansa', '2018-09-09T09:25', '2018-09-09T22:50', '805', '7554', '200', 'LH 1161', 'A310', '186', '4', '18'), 
('Delta Air Lines', '2019-08-06T12:03', '2019-08-06T20:00', '477', '1107', '500', 'DL 730', 'CRJ1000', '446', '15', '19'), 
('Delta Air Lines', '2019-04-09T22:38', '2019-04-09T23:15', '37', '6637', '500', 'DL 1716', 'A319', '301', '22', '23'), 
('Frontier Airlines', '2018-10-25T12:58', '2018-10-25T19:32', '394', '5022', '300', 'F9 1399', 'A321', '437', '11', '29'), 
('JetBlue Airways', '2018-08-09T08:42', '2018-08-10T08:49', '1447', '5416', '200', 'B6 1065', 'SR-71 Blackbird', '558', '7', '28'), 
('Delta Air Lines', '2019-07-19T21:56', '2019-07-19T23:37', '101', '3483', '500', 'DL 825', 'SR-71 Blackbird', '52', '16', '17'), 
('SAS', '2019-06-07T13:52', '2019-06-08T12:14', '1342', '3453', '200', 'SA 863', 'A300', '226', '2', '27'), 
('Norwegian', '2018-11-25T01:30', '2018-11-25T05:52', '262', '849', '1000', 'NW 500', 'A330', '471', '17', '11'), 
('Norwegian', '2019-02-15T05:18', '2019-02-15T14:54', '576', '7095', '500', 'NW 203', 'A350', '213', '10', '23'), 
('WOW Air', '2018-02-04T11:25', '2018-02-04T16:15', '290', '2909', '300', 'WA 1546', 'A319', '590', '9', '18'), 
('Lufthansa', '2018-07-12T22:52', '2018-07-13T18:19', '1167', '9617', '300', 'LH 955', 'SR-71 Blackbird', '304', '21', '4'), 
('Alaska Airlines', '2018-01-12T07:04', '2018-01-13T11:02', '1678', '7140', '300', 'AS 1107', 'A300', '135', '9', '27'), 
('British Airways', '2019-06-09T01:19', '2019-06-10T10:46', '2007', '9647', '500', 'BA 1487', 'CRJ700', '571', '28', '19'), 
('Delta Air Lines', '2018-02-15T08:48', '2018-02-15T20:18', '690', '7437', '500', 'DL 1858', 'A319', '107', '9', '25'), 
('Alaska Airlines', '2019-07-20T07:30', '2019-07-21T06:09', '1359', '1320', '500', 'AS 1068', 'CRJ705', '260', '26', '6'), 
('SAS', '2018-04-02T23:11', '2018-04-02T23:02', '-9', '5761', '1000', 'SA 1404', 'CRJ1000', '410', '27', '16'), 
('British Airways', '2019-05-25T01:07', '2019-05-26T21:18', '2651', '1588', '1000', 'BA 1475', 'Boeing 777', '551', '14', '4'), 
('British Airways', '2018-10-16T16:59', '2018-10-17T18:46', '1547', '7970', '200', 'BA 1070', 'CRJ700', '513', '6', '20'), 
('Delta Air Lines', '2019-10-20T19:25', '2019-10-20T23:12', '227', '648', '500', 'DL 1296', 'A300', '105', '24', '16'), 
('WOW Air', '2019-05-29T05:50', '2019-05-30T07:43', '1553', '3581', '300', 'WA 593', 'E-175', '360', '15', '2'), 
('Norwegian', '2019-06-03T17:12', '2019-06-04T17:09', '1437', '3504', '1000', 'NW 853', 'A300', '538', '5', '24'), 
('Frontier Airlines', '2019-06-24T08:00', '2019-06-24T18:33', '633', '5602', '1000', 'F9 442', 'A380', '587', '1', '8'), 
('Lufthansa', '2018-03-24T04:10', '2018-03-25T14:01', '2031', '9261', '1000', 'LH 441', 'A318', '413', '17', '22'), 
('JetBlue Airways', '2018-08-07T02:09', '2018-08-08T03:51', '1542', '8832', '200', 'B6 821', 'Boeing 747', '521', '5', '20'), 
('Air Canada', '2018-03-25T00:05', '2018-03-25T09:10', '545', '4356', '500', 'AC 615', 'CRJ705', '412', '23', '29'), 
('Finnair', '2018-06-10T16:48', '2018-06-10T19:51', '183', '6287', '500', 'FA 1880', 'A330', '300', '17', '11'), 
('Norwegian', '2018-05-19T03:26', '2018-05-20T05:14', '1548', '1289', '300', 'NW 1915', 'A380', '371', '0', '21'), 
('Air Canada', '2019-05-17T14:54', '2019-05-18T19:17', '1703', '4647', '200', 'AC 1577', 'A220', '322', '13', '12'), 
('Finnair', '2018-08-18T18:07', '2018-08-19T12:35', '1108', '6914', '300', 'FA 115', 'A300', '100', '9', '1'), 
('Delta Air Lines', '2019-02-24T05:09', '2019-02-25T12:56', '1907', '7146', '500', 'DL 1703', 'A300', '343', '25', '21'), 
('Alaska Airlines', '2019-11-30T05:56', '2019-11-30T19:54', '838', '1654', '1000', 'AS 1184', 'Boeing 777', '148', '27', '8'), 
('Delta Air Lines', '2019-08-07T17:41', '2019-08-07T21:01', '200', '1347', '500', 'DL 418', 'E-175', '95', '25', '3'), 
('SAS', '2019-08-06T15:56', '2019-08-07T11:33', '1177', '4358', '200', 'SA 1154', 'E-195', '221', '23', '5'), 
('WOW Air', '2019-11-08T08:27', '2019-11-08T16:30', '483', '7623', '300', 'WA 1799', 'A340', '470', '28', '2'), 
('Norwegian', '2019-11-06T05:09', '2019-11-06T16:55', '706', '1503', '200', 'NW 1479', 'Boeing 737', '380', '19', '22'), 
('WOW Air', '2018-09-21T15:43', '2018-09-21T23:38', '475', '6377', '500', 'WA 898', 'E-170', '54', '29', '14'), 
('Frontier Airlines', '2018-05-09T22:26', '2018-05-09T24:17', '111', '7833', '1000', 'F9 214', 'E-195', '461', '0', '28'), 
('Lufthansa', '2018-02-19T09:04', '2018-02-20T20:01', '2097', '8481', '300', 'LH 1671', 'Millennium Falcon', '214', '24', '12'), 
('Delta Air Lines', '2018-08-25T18:20', '2018-08-25T22:14', '234', '802', '300', 'DL 551', 'E-190', '495', '13', '24'), 
('SAS', '2019-05-29T15:09', '2019-05-30T10:45', '1176', '7359', '300', 'SA 1097', 'A330', '479', '10', '9'), 
('Norwegian', '2019-01-10T18:38', '2019-01-10T22:44', '246', '8779', '300', 'NW 1649', 'CRJ705', '314', '7', '29'), 
('Finnair', '2019-09-05T05:20', '2019-09-05T19:13', '833', '3645', '500', 'FA 1739', 'Millennium Falcon', '409', '14', '21'), 
('Delta Air Lines', '2018-05-11T20:56', '2018-05-11T22:34', '98', '8698', '500', 'DL 678', 'A300', '567', '6', '7'), 
('Air Canada', '2018-09-01T10:30', '2018-09-01T17:45', '435', '6958', '300', 'AC 309', 'E-170', '173', '21', '12'), 
('Alaska Airlines', '2019-05-17T05:57', '2019-05-17T21:25', '928', '3515', '500', 'AS 1627', 'E-190', '471', '27', '24'), 
('Air Canada', '2019-09-16T12:59', '2019-09-16T19:07', '368', '9842', '300', 'AC 1741', 'A320', '254', '9', '0'), 
('Finnair', '2018-06-11T16:17', '2018-06-11T19:04', '167', '7267', '200', 'FA 1995', 'Boeing 737', '310', '19', '2'), 
('Norwegian', '2019-06-05T22:32', '2019-06-05T23:03', '31', '2035', '200', 'NW 975', 'A340', '331', '29', '21'), 
('Alaska Airlines', '2019-06-10T19:03', '2019-06-11T23:51', '1728', '2922', '300', 'AS 1614', 'CRJ1000', '202', '22', '20'), 
('Air Canada', '2018-06-18T06:11', '2018-06-18T18:03', '712', '4252', '1000', 'AC 1913', 'Boeing 767', '496', '6', '22'), 
('Delta Air Lines', '2019-04-13T19:34', '2019-04-13T22:52', '198', '6967', '1000', 'DL 272', 'A319', '444', '2', '26'), 
('Frontier Airlines', '2018-07-11T00:21', '2018-07-12T22:41', '2780', '5178', '1000', 'F9 397', 'A300', '440', '20', '17'), 
('Lufthansa', '2019-06-23T11:49', '2019-06-24T22:54', '2105', '7762', '200', 'LH 504', 'A319', '520', '12', '4'), 
('British Airways', '2018-03-09T02:24', '2018-03-10T21:21', '2577', '5649', '200', 'BA 140', 'SR-71 Blackbird', '73', '26', '29'), 
('Frontier Airlines', '2018-10-19T08:42', '2018-10-19T15:40', '418', '9510', '1000', 'F9 938', 'A380', '466', '10', '24'), 
('SAS', '2019-10-20T07:40', '2019-10-21T09:52', '1572', '1596', '1000', 'SA 1760', 'Boeing 777', '78', '26', '13'), 
('JetBlue Airways', '2018-04-02T16:56', '2018-04-03T12:50', '1194', '2003', '500', 'B6 231', 'Millennium Falcon', '110', '10', '15'), 
('British Airways', '2019-06-17T06:03', '2019-06-18T10:42', '1719', '9174', '1000', 'BA 210', 'CRJ1000', '125', '3', '10'), 
('American Airlines', '2018-05-11T03:14', '2018-05-11T11:55', '521', '6507', '1000', 'AA 1078', 'A318', '276', '12', '24'), 
('Air Canada', '2018-11-28T00:50', '2018-11-28T11:36', '646', '672', '200', 'AC 1912', 'A380', '192', '15', '19'), 
('Finnair', '2019-09-03T18:40', '2019-09-03T23:45', '305', '9472', '500', 'FA 1644', 'Boeing 787', '508', '3', '2'), 
('Frontier Airlines', '2018-04-17T14:22', '2018-04-18T16:13', '1551', '7628', '1000', 'F9 914', 'A220', '483', '23', '13'), 
('SAS', '2018-05-30T15:21', '2018-05-30T17:28', '127', '8571', '1000', 'SA 865', 'A330', '76', '4', '13'), 
('British Airways', '2018-01-05T01:34', '2018-01-05T03:44', '130', '5096', '200', 'BA 639', 'A321', '102', '21', '10'), 
('Alaska Airlines', '2019-02-23T09:45', '2019-02-23T21:19', '694', '3672', '300', 'AS 1557', 'CRJ700', '523', '25', '8'), 
('SAS', '2018-12-06T14:44', '2018-12-06T18:48', '244', '2111', '1000', 'SA 520', 'CRJ700', '179', '4', '5'), 
('SAS', '2019-07-13T02:14', '2019-07-13T07:14', '300', '5973', '200', 'SA 743', 'Millennium Falcon', '90', '14', '5'), 
('British Airways', '2018-08-25T02:08', '2018-08-25T21:33', '1165', '8087', '300', 'BA 1028', 'A350', '180', '23', '29'), 
('Frontier Airlines', '2019-05-26T09:15', '2019-05-27T08:31', '1396', '908', '1000', 'F9 1779', 'CRJ1000', '104', '16', '19'), 
('Norwegian', '2018-08-21T08:43', '2018-08-22T08:15', '1412', '3198', '200', 'NW 190', 'E-175', '422', '21', '15'), 
('Frontier Airlines', '2018-03-02T11:17', '2018-03-02T20:42', '565', '593', '300', 'F9 1648', 'A340', '273', '26', '22'), 
('Finnair', '2018-04-25T12:02', '2018-04-26T13:12', '1510', '4223', '500', 'FA 338', 'CRJ900', '540', '27', '17'), 
('Lufthansa', '2019-01-08T12:36', '2019-01-08T20:48', '492', '2096', '500', 'LH 1245', 'A220', '210', '17', '18'), 
('Delta Air Lines', '2018-02-22T09:33', '2018-02-22T12:12', '159', '4546', '300', 'DL 1546', 'A310', '174', '1', '29'), 
('WOW Air', '2019-02-12T08:02', '2019-02-13T14:33', '1831', '2869', '300', 'WA 1272', 'Boeing 737', '264', '21', '3'), 
('Norwegian', '2018-03-15T20:43', '2018-03-16T19:30', '1367', '6653', '500', 'NW 493', 'A310', '277', '26', '11'), 
('American Airlines', '2019-03-13T04:53', '2019-03-13T14:46', '593', '8129', '200', 'AA 398', 'SR-71 Blackbird', '370', '14', '5'), 
('Air Canada', '2018-09-11T07:47', '2018-09-11T11:29', '222', '9570', '500', 'AC 680', 'A340', '437', '19', '0'), 
('British Airways', '2018-02-07T17:53', '2018-02-07T21:19', '206', '8521', '1000', 'BA 844', 'Boeing 737', '341', '2', '15'), 
('WOW Air', '2018-02-11T04:55', '2018-02-11T20:54', '959', '7083', '300', 'WA 286', 'Boeing 777', '443', '0', '21'), 
('Alaska Airlines', '2019-08-06T04:13', '2019-08-06T22:18', '1085', '3965', '300', 'AS 1730', 'Boeing 787', '212', '9', '27'), 
('Air Canada', '2019-02-29T06:23', '2019-02-30T01:44', '1161', '8666', '1000', 'AC 633', 'Boeing 747', '477', '5', '10'), 
('SAS', '2018-06-05T09:46', '2018-06-06T15:58', '1812', '6821', '500', 'SA 753', 'Boeing 747', '543', '23', '9'), 
('SAS', '2018-02-25T03:24', '2018-02-25T12:17', '533', '8670', '500', 'SA 681', 'A319', '198', '8', '17'), 
('JetBlue Airways', '2019-04-18T06:07', '2019-04-18T09:27', '200', '8212', '500', 'B6 390', 'E-175', '189', '26', '3'), 
('Frontier Airlines', '2018-09-18T18:41', '2018-09-19T06:06', '685', '515', '500', 'F9 1176', 'E-190', '145', '27', '28'), 
('British Airways', '2018-07-16T22:54', '2018-07-16T23:22', '28', '2887', '500', 'BA 1937', 'A318', '245', '18', '0'), 
('Air Canada', '2018-11-14T17:29', '2018-11-14T22:02', '273', '1097', '1000', 'AC 424', 'Boeing 737', '174', '8', '22'), 
('SAS', '2019-10-28T15:43', '2019-10-28T19:47', '244', '1230', '300', 'SA 333', 'A320', '436', '25', '9'), 
('Delta Air Lines', '2018-05-04T17:28', '2018-05-05T15:55', '1347', '1549', '1000', 'DL 1248', 'A380', '217', '9', '15'), 
('SAS', '2019-09-28T14:36', '2019-09-28T20:05', '329', '5649', '300', 'SA 872', 'SR-71 Blackbird', '244', '13', '5'), 
('Frontier Airlines', '2018-02-02T17:36', '2018-02-02T21:58', '262', '3660', '200', 'F9 1573', 'A220', '490', '26', '17'), 
('Finnair', '2018-05-14T20:56', '2018-05-14T23:20', '144', '6534', '1000', 'FA 181', 'A220', '72', '20', '0'), 
('Norwegian', '2019-09-02T10:56', '2019-09-02T22:53', '717', '2547', '200', 'NW 1963', 'E-190', '533', '11', '27'), 
('Norwegian', '2019-04-07T18:03', '2019-04-08T10:22', '979', '6687', '500', 'NW 898', 'Millennium Falcon', '576', '8', '13'), 
('Frontier Airlines', '2019-02-22T19:05', '2019-02-22T22:33', '208', '3181', '300', 'F9 1453', 'CRJ1000', '390', '12', '3'), 
('WOW Air', '2018-04-06T12:32', '2018-04-06T22:54', '622', '3949', '300', 'WA 985', 'A350', '349', '5', '20'), 
('Frontier Airlines', '2019-09-17T13:02', '2019-09-17T23:38', '636', '8780', '1000', 'F9 1103', 'A380', '488', '16', '15'), 
('Norwegian', '2018-03-23T07:39', '2018-03-23T19:10', '691', '9504', '300', 'NW 516', 'A300', '430', '1', '10'), 
('JetBlue Airways', '2019-05-02T18:55', '2019-05-03T05:27', '632', '3325', '500', 'B6 598', 'E-175', '300', '9', '7'), 
('Norwegian', '2018-08-04T14:05', '2018-08-04T19:32', '327', '2201', '300', 'NW 1874', 'A318', '168', '23', '15'), 
('Delta Air Lines', '2018-08-04T18:20', '2018-08-04T21:38', '198', '6788', '500', 'DL 1347', 'Boeing 787', '554', '6', '28'), 
('Finnair', '2019-09-09T22:06', '2019-09-10T00:34', '148', '8638', '500', 'FA 1767', 'CRJ900', '199', '8', '23'), 
('Alaska Airlines', '2019-05-21T03:16', '2019-05-22T06:47', '1651', '3367', '300', 'AS 440', 'E-170', '333', '3', '14'), 
('British Airways', '2019-04-17T01:56', '2019-04-18T09:52', '1916', '3838', '300', 'BA 1022', 'Boeing 787', '391', '11', '27'), 
('Air Canada', '2018-09-09T16:35', '2018-09-09T22:10', '335', '6063', '500', 'AC 142', 'E-175', '548', '14', '24'), 
('SAS', '2019-04-08T09:03', '2019-04-08T19:38', '635', '7106', '300', 'SA 1873', 'Boeing 767', '406', '20', '23'), 
('Finnair', '2018-07-25T17:03', '2018-07-26T06:19', '796', '7394', '1000', 'FA 703', 'A319', '108', '24', '8'), 
('Delta Air Lines', '2019-05-08T13:15', '2019-05-08T19:44', '389', '2387', '200', 'DL 1492', 'E-190', '192', '23', '20'), 
('Alaska Airlines', '2019-07-30T16:10', '2019-07-31T18:31', '1581', '6301', '300', 'AS 252', 'Boeing 777', '553', '12', '22'), 
('WOW Air', '2018-02-28T19:56', '2018-02-29T02:58', '422', '6484', '200', 'WA 1529', 'A300', '197', '6', '20'), 
('Frontier Airlines', '2018-08-29T05:14', '2018-08-29T11:27', '373', '7793', '500', 'F9 553', 'A319', '238', '21', '4'), 
('British Airways', '2019-05-24T20:37', '2019-05-25T06:46', '609', '6543', '500', 'BA 1188', 'A318', '313', '23', '13'), 
('Air Canada', '2019-05-29T00:31', '2019-05-29T04:52', '261', '4690', '500', 'AC 1101', 'E-175', '563', '11', '21'), 
